seed,partition,covariate_shift_median,operation_shift_median,auroc,fallback_fraction
42,train,0.8727021680945288,0.3085075748002592,0.8451797385620915,0.029512539738608266
42,validation,32.13908299896738,69.40396449359149,0.78125,0.4753968253968254
42,test,64.24972385934205,138.7641448922792,0.7251838235294118,0.993193717277487
1042,train,0.8727021680945288,0.3085075748002592,0.8528730936819172,0.0
1042,validation,32.13908299896738,69.40396449359149,0.7493872549019608,0.4932539682539683
1042,test,64.24972385934205,138.7641448922792,0.5366115196078431,1.0
2042,train,0.8727021680945288,0.3085075748002592,0.8592388344226579,0.00012363122571529495
2042,validation,32.13908299896738,69.40396449359149,0.801470588235294,0.5235119047619048
2042,test,64.24972385934205,138.7641448922792,0.7113970588235294,1.0
3042,train,0.8727021680945288,0.3085075748002592,0.7964665032679739,0.6673966796185093
3042,validation,32.13908299896738,69.40396449359149,0.7720588235294117,0.4748015873015873
3042,test,64.24972385934205,138.7641448922792,0.757046568627451,0.32212041884816756
4042,train,0.8727021680945288,0.3085075748002592,0.8610770697167757,3.532320734722713e-05
4042,validation,32.13908299896738,69.40396449359149,0.788296568627451,0.46517857142857144
4042,test,64.24972385934205,138.7641448922792,0.5741421568627452,1.0
