seed,method,mae,mse,rmse,r2,macro_run_rmse
42,all_off,0.21192042173388662,0.0650471463328793,0.255043420485374,0.053549421759273685,0.28335626699772987
42,all_on,0.18799540872903464,0.0527011330293231,0.2295672734283419,0.23318668624926275,0.23869925674169384
42,anti_oracle,0.20128407301754497,0.05922123058473429,0.24335412588393543,0.1383178034557735,0.25650025554284056
42,data_only,0.21192042173388662,0.0650471463328793,0.255043420485374,0.053549421759273685,0.28335626699772987
42,inverse_residual,0.20821763336935,0.06230813510681575,0.24961597526363521,0.09340264983863267,0.2769715946875618
42,oracle,0.19863175744537626,0.05852704877746808,0.24192364245246492,0.14841830455276317,0.2682979035562548
42,priorcred_thresholded,0.2114854849023245,0.06460281645888072,0.25417084108701515,0.06001452115077477,0.2816468235136322
42,random_credibility,0.1951204185120666,0.054558609050717945,0.23357784366398698,0.20615999324845358,0.25423073215058123
42,validation_selected_scalar,0.18704154523472377,0.050123778644593345,0.22388340412945607,0.27068777100516284,0.2417346077889028
1042,all_off,0.21760578042734902,0.06486403223719475,0.2546841813642825,0.05621377294937435,0.24138137590324638
1042,all_on,0.19136065970809288,0.05646480428851049,0.23762324021128592,0.1784244247145801,0.2304598318466095
1042,anti_oracle,0.20458979316276737,0.06225506280194892,0.24950964470727163,0.09417486378592443,0.24139826029409783
1042,data_only,0.21760578042734902,0.06486403223719475,0.2546841813642825,0.05621377294937435,0.24138137590324638
1042,inverse_residual,0.212930770435717,0.06253514759746583,0.2500702853148807,0.09009956714928458,0.23663975993492264
1042,oracle,0.20437664697267455,0.05907377372375632,0.24305096939480889,0.14046333387803,0.2311716421384876
1042,priorcred_thresholded,0.21760578042734902,0.06486403223719475,0.2546841813642825,0.05621377294937435,0.24138137590324638
1042,random_credibility,0.1975499997449755,0.056119181428047483,0.23689487421227054,0.18345331490546435,0.22589699139305844
1042,validation_selected_scalar,0.190529839316204,0.053204719458846986,0.23066148239107237,0.22585939067540373,0.2212523930901193
2042,all_off,0.17908888418198177,0.04798609566600324,0.21905728854800344,0.30179153812244985,0.256981670855756
2042,all_on,0.17603058844427283,0.04766853475306314,0.21833125006068907,0.3064121206786886,0.23008152851081792
2042,anti_oracle,0.18671587007090848,0.0522420533226216,0.22856520584424392,0.23986639901702478,0.24561315524291755
2042,data_only,0.17908888418198177,0.04798609566600324,0.21905728854800344,0.30179153812244985,0.256981670855756
2042,inverse_residual,0.17681045231019668,0.04691453396377496,0.21659763148237554,0.3173830013897929,0.253294926735253
2042,oracle,0.1684036025553461,0.043412577096444784,0.2083568503708116,0.3683372597841137,0.24375600030069222
2042,priorcred_thresholded,0.17908888418198177,0.04798609566600324,0.21905728854800344,0.30179153812244985,0.256981670855756
2042,random_credibility,0.16997156961002244,0.04327849522664984,0.20803484137675074,0.3702881810827915,0.23515416949265944
2042,validation_selected_scalar,0.16690944783505912,0.041148768416989126,0.202851592098729,0.4012761841564835,0.23193625722125108
3042,all_off,0.23456888184370717,0.07586794438037202,0.2754413628712507,-0.10389561843765405,0.2757173325010886
3042,all_on,0.19678749486473426,0.05675339934114851,0.2382297196849052,0.17422530192679686,0.23783931773999123
3042,anti_oracle,0.21175798564103113,0.0642593694778929,0.25349431843316117,0.06501175180694341,0.25370570535916165
3042,data_only,0.23456888184370717,0.07586794438037202,0.2754413628712507,-0.10389561843765405,0.2757173325010886
3042,inverse_residual,0.22922362243092542,0.0724527010090353,0.2691703940054242,-0.05420306087190263,0.26934543322239946
3042,oracle,0.2195983910674103,0.06836197424362764,0.26146122894920315,0.005317931682199295,0.2619462778828794
3042,priorcred_thresholded,0.22402717096059058,0.06891095662523361,0.26250896484736214,-0.002669885183062881,0.2583937988682068
3042,random_credibility,0.20849082187054446,0.06062192072174698,0.24621519189876764,0.11793744759315739,0.2465215702603103
3042,validation_selected_scalar,0.19734859271078545,0.05534380499470169,0.23525264078156846,0.19473521603512867,0.2352444315888329
4042,all_off,0.2455722547126495,0.08555156017015751,0.29249198308698565,-0.2447944015572272,0.2987457244887596
4042,all_on,0.19915000372826158,0.057708490545118625,0.24022591564008788,0.16032851054959796,0.24274676173238
4042,anti_oracle,0.21552692219429792,0.06662152043991898,0.2581114496490208,0.030641925151359217,0.26206637232503116
4042,data_only,0.2455722547126495,0.08555156017015751,0.29249198308698565,-0.2447944015572272,0.2987457244887596
4042,inverse_residual,0.24235487893410398,0.08312329425482695,0.28831110671430427,-0.2094625874923084,0.29445144806423407
4042,oracle,0.22919533624661315,0.07663853027535718,0.27683664908273464,-0.11510781615898891,0.28279916566326707
4042,priorcred_thresholded,0.2455722547126495,0.08555156017015751,0.29249198308698565,-0.2447944015572272,0.2987457244887596
4042,random_credibility,0.21556060361784454,0.06573107848590443,0.25638072955256297,0.043598055431910754,0.2626318819084874
4042,validation_selected_scalar,0.1997519924943999,0.057195686782295495,0.23915619745742633,0.16778992039168739,0.24231115387703583
