seed,validity_label,method,macro_run_rmse,physics_regret
42,0,all_off,0.28335626699772987,0.0
42,0,all_on,0.250227901330453,-0.03312836566727689
42,0,anti_oracle,0.250227901330453,-0.03312836566727689
42,0,data_only,0.28335626699772987,0.0
42,0,inverse_residual,0.2796794442216777,-0.003676822776052191
42,0,oracle,0.28335626699772987,0.0
42,0,priorcred_thresholded,0.2818055252779599,-0.001550741719769988
42,0,random_credibility,0.2593390166934718,-0.024017250304258053
42,0,validation_selected_scalar,0.2480983173424856,-0.03525794965524426
42,1,all_off,0.28335626699772987,0.0
42,1,all_on,0.1558203947868544,-0.12753587221087548
42,1,anti_oracle,0.28335626699772987,0.0
42,1,data_only,0.28335626699772987,0.0
42,1,inverse_residual,0.26083527901269643,-0.022520987985033436
42,1,oracle,0.1558203947868544,-0.12753587221087548
42,1,priorcred_thresholded,0.2807395744729382,-0.002616692524791686
42,1,random_credibility,0.22218941274117043,-0.06116685425655943
42,1,validation_selected_scalar,0.2005292895151206,-0.08282697748260925
1042,0,all_off,0.24138137590324638,0.0
1042,0,all_on,0.24089269648705972,-0.0004886794161866603
1042,0,anti_oracle,0.24089269648705972,-0.0004886794161866603
1042,0,data_only,0.24138137590324638,0.0
1042,0,inverse_residual,0.23843914057282167,-0.002942235330424703
1042,0,oracle,0.24138137590324638,0.0
1042,0,priorcred_thresholded,0.24138137590324638,0.0
1042,0,random_credibility,0.2304076915998734,-0.010973684303372977
1042,0,validation_selected_scalar,0.22789979426768014,-0.013481581635566231
1042,1,all_off,0.24138137590324638,0.0
1042,1,all_on,0.15496787174178453,-0.08641350416146185
1042,1,anti_oracle,0.24138137590324638,0.0
1042,1,data_only,0.24138137590324638,0.0
1042,1,inverse_residual,0.2257507402634793,-0.015630635639767076
1042,1,oracle,0.15496787174178453,-0.08641350416146185
1042,1,priorcred_thresholded,0.24138137590324638,0.0
1042,1,random_credibility,0.19750270351708066,-0.04387867238616572
1042,1,validation_selected_scalar,0.17716727309053215,-0.06421410281271422
2042,0,all_off,0.25698167085575596,0.0
2042,0,all_on,0.24175444382964714,-0.01522722702610882
2042,0,anti_oracle,0.24175444382964714,-0.01522722702610882
2042,0,data_only,0.25698167085575596,0.0
2042,0,inverse_residual,0.25617064549235524,-0.0008110253634007192
2042,0,oracle,0.25698167085575596,0.0
2042,0,priorcred_thresholded,0.25698167085575596,0.0
2042,0,random_credibility,0.24071474798368647,-0.01626692287206949
2042,0,validation_selected_scalar,0.23615572234083448,-0.020825948514921477
2042,1,all_off,0.256981670855756,0.0
2042,1,all_on,0.14435537095510495,-0.11262629990065107
2042,1,anti_oracle,0.256981670855756,0.0
2042,1,data_only,0.256981670855756,0.0
2042,1,inverse_residual,0.23590297496478846,-0.021078695890967558
2042,1,oracle,0.14435537095510495,-0.11262629990065107
2042,1,priorcred_thresholded,0.256981670855756,0.0
2042,1,random_credibility,0.19945791172424282,-0.0575237591315132
2042,1,validation_selected_scalar,0.20556695636627126,-0.05141471448948476
3042,0,all_off,0.2757173325010886,0.0
3042,0,all_on,0.24889919888652545,-0.026818133614563144
3042,0,anti_oracle,0.24889919888652545,-0.026818133614563144
3042,0,data_only,0.2757173325010886,0.0
3042,0,inverse_residual,0.27146919050683477,-0.004248141994253829
3042,0,oracle,0.2757173325010886,0.0
3042,0,priorcred_thresholded,0.26190608453610453,-0.013811247964984064
3042,0,random_credibility,0.2515699819945228,-0.0241473505065658
3042,0,validation_selected_scalar,0.24369750266506676,-0.032019829836021835
3042,1,all_off,0.2757173325010886,0.0
3042,1,all_on,0.15962412743878177,-0.11609320506230683
3042,1,anti_oracle,0.2757173325010886,0.0
3042,1,data_only,0.2757173325010886,0.0
3042,1,inverse_residual,0.2568268936365298,-0.018890438864558823
3042,1,oracle,0.15962412743878177,-0.11609320506230683
3042,1,priorcred_thresholded,0.23696380438301928,-0.038753528118069314
3042,1,random_credibility,0.21500361205438517,-0.06071372044670342
3042,1,validation_selected_scalar,0.17874923199160617,-0.09696810050948243
4042,0,all_off,0.2987457244887596,0.0
4042,0,all_on,0.25410432284392065,-0.04464140164483893
4042,0,anti_oracle,0.25410432284392065,-0.04464140164483893
4042,0,data_only,0.2987457244887596,0.0
4042,0,inverse_residual,0.29649597113051274,-0.002249753358246842
4042,0,oracle,0.2987457244887596,0.0
4042,0,priorcred_thresholded,0.2987457244887596,0.0
4042,0,random_credibility,0.2676071448563942,-0.031138579632365382
4042,0,validation_selected_scalar,0.25235233128047946,-0.04639339320828012
4042,1,all_off,0.2987457244887596,0.0
4042,1,all_on,0.1625950571267784,-0.13615066736198117
4042,1,anti_oracle,0.2987457244887596,0.0
4042,1,data_only,0.2987457244887596,0.0
4042,1,inverse_residual,0.28246469682676545,-0.01628102766199413
4042,1,oracle,0.1625950571267784,-0.13615066736198117
4042,1,priorcred_thresholded,0.2987457244887596,0.0
4042,1,random_credibility,0.23209163742335884,-0.06665408706540074
4042,1,validation_selected_scalar,0.17347064758832348,-0.1252750769004361
