scope,group,units,safe_fraction,mean_regret,median_regret,mean_positive_regret
candidate_family_scale,gamma__scale_0.60,80,0.575,-0.000141669615805827,-0.013050058133708249,0.015000603569291124
candidate_family_scale,gamma__scale_1.00,80,0.7875,-0.001810741781139332,-0.0015048046896125001,0.004724695850683603
candidate_family_scale,gamma__scale_1.60,80,0.3125,0.02274245431153693,0.0385478515587587,0.03462211935624257
candidate_family_scale,linear_increasing__scale_0.60,80,0.525,0.015410244020670334,0.0004150777512272998,0.029362112052469812
candidate_family_scale,linear_increasing__scale_1.00,80,0.575,-0.0002219804997084917,-0.00788820284617635,0.01411720937683103
candidate_family_scale,linear_increasing__scale_1.60,80,0.85,-0.0026676985763949127,-0.0006538097345921,0.004529868667080989
candidate_family_scale,progressively_increasing__scale_0.60,80,0.5875,-0.0015149037116881842,-0.013995184878009551,0.013917740534768847
candidate_family_scale,progressively_increasing__scale_1.00,80,0.775,-0.0017074318704632815,-0.00091796460823515,0.0047061753605387585
candidate_family_scale,progressively_increasing__scale_1.60,80,0.325,0.024582782394079496,0.0396955589866129,0.03649693745848226
candidate_family_scale,step_like__scale_0.60,80,0.6375,-0.0035365438571635147,-0.011005819714136101,0.00795509008736706
candidate_family_scale,step_like__scale_1.00,80,0.4,0.006702986995898672,0.01683183003470655,0.016298439416292564
candidate_family_scale,step_like__scale_1.60,80,0.2625,0.04337741283954898,0.05640417826293005,0.05524869663271016
law_correctness,false,880,0.5659090909090909,0.0077087245365605175,0.00185915403544115,0.01993813381839187
law_correctness,true,80,0.3875,0.016418940747205162,0.014166900006013849,0.017660216360448223
true_family,gamma,240,0.375,0.021497826668436748,0.018398152234911598,0.026018828233980957
true_family,linear_increasing,240,0.5833333333333334,-0.0014883807822984444,-0.00186890488715915,0.016319749693207444
true_family,progressively_increasing,240,0.5916666666666667,0.011983165902091242,0.00213795708133715,0.021223946927117956
true_family,step_like,240,0.6541666666666667,0.0017456917615607445,-0.0085412482676312,0.015430704599946565
