method,mean_rmse,sd_rmse,mean_macro_run_rmse,sd_macro_run_rmse,mean_r2,improvement_vs_data_pct,improvement_vs_all_on_pct,mean_regret,mean_positive_regret,maximum_regret,harmful_run_fraction,improved_trajectory_seed_units
oracle,0.1358150426559373,0.018154859313077,0.13795814103924503,0.015160106666018061,0.7641004764262728,14.790869506131195,13.574290296939242,-0.023947209056038206,3.468824265291191e-05,0.0017057483065593265,0.0,77
all_on,0.16382702399351817,0.009393414788049012,0.15962627499761134,0.011020517026730516,0.6607038787837649,1.4076589169725564,0.0,-0.0022790750976719085,0.0031746105283262183,0.024757406361799822,0.1125,50
random_credibility,0.16427816696377323,0.009483066106997127,0.1600952393608029,0.010769600272178447,0.658820453174062,1.1180055096481183,-0.2937889537286804,-0.0018101107344803229,0.0033958102581190816,0.025379733709391283,0.1,47
inverse_residual,0.16479328286718412,0.00934330724504112,0.16028256341338415,0.010863763216344182,0.6567097092228236,1.0023057798547428,-0.4111405943555537,-0.0016227866818990875,0.0030454142831354857,0.023061106626594996,0.1,48
priorcred,0.1657049587188249,0.009169060230977018,0.1608916077313404,0.011407674911202224,0.6529431820068424,0.6261327147906062,-0.7926844961758283,-0.0010137423639428491,0.0019083977048478969,0.013773187211378879,0.0625,28
all_off,0.16642038196945888,0.011860581010780734,0.16190535009528323,0.01163525352229621,0.6493763136131433,0.0,-1.4277568637782183,0.0,0.0,0.0,0.0,0
data_only,0.16642038196945888,0.011860581010780734,0.16190535009528323,0.01163525352229621,0.6493763136131433,0.0,-1.4277568637782183,0.0,0.0,0.0,0.0,0
validation_selected_scalar,0.16642038196945888,0.011860581010780734,0.16190535009528323,0.01163525352229621,0.6493763136131433,0.0,-1.4277568637782183,0.0,0.0,0.0,0.0,0
anti_oracle,0.20506989154953445,0.005874668372483893,0.1967713956650799,0.007844060917689188,0.4694138307935031,-21.534832264207193,-23.270054173740757,0.03486604556979666,0.03486604556979666,0.068542900041062,0.925,0
