dimension,value,trajectory_seed_units,mean_regret,mean_positive_regret,harmful_fraction,maximum_regret,mean_intervention_coverage
parent_seed,42,16,-0.0018409719313350831,0.0016307307910733374,0.0625,0.010819877922934693,0.21913848684001724
parent_seed,1042,16,-0.0006380467553830935,0.0007474899971241676,0.0,0.009013860955830386,0.07358977479162601
parent_seed,2042,16,-0.0014149370499617641,0.001993657694504726,0.0625,0.011951497266339955,0.19731934354404168
parent_seed,3042,16,0.0008777217604715778,0.00342289254006241,0.1875,0.013773187211378879,0.4274016324601231
parent_seed,4042,16,-0.0020524778435058837,0.001747217501474844,0.0,0.008502651090621316,0.49301673388140976
true_family,gamma,20,0.0027548202653360195,0.003746390558092922,0.15,0.011877520351435591,0.36878865320725784
true_family,linear_increasing,20,0.0013727319056875589,0.002220643091562835,0.05,0.013773187211378879,0.2902668283808369
true_family,progressively_increasing,20,-0.004936324486858124,0.0004989819561190628,0.0,0.004007294782064796,0.22298156235471117
true_family,step_like,20,-0.0032461971399368517,0.0011675752136167685,0.05,0.011951497266339955,0.24633573327096836
condition_id,test_l4400_ls110_s47_n8,20,-0.001543014721050959,0.0025230748806186675,0.05,0.011951497266339955,0.3135844041469404
condition_id,test_l5200_ls150_s53_n12,20,-0.0020396397272925333,0.0018591675784749976,0.1,0.013773187211378879,0.3275929274587428
condition_id,test_l5600_ls110_s47_n13,20,0.0003701932728801552,0.0010781549750459168,0.0,0.008502651090621316,0.1713025884652339
condition_id,test_l6000_ls190_s59_n7,20,-0.0008425082803080602,0.0021731933852520064,0.1,0.011877520351435591,0.31589285714285714
lifecycle_region,early,70,0.003925453779946746,0.003931791853503261,0.08571428571428572,0.03191380740927227,0.140127772827135
lifecycle_region,late,80,-0.0032395618796251377,0.0022895688179725275,0.1,0.0371671800096904,0.35720785233169955
lifecycle_region,middle,80,-0.0026844986248198963,0.0023292285771865672,0.1125,0.03062394615467325,0.3217925716524854
